                    bin_name, config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,    cycle,    instr, L1_miss, LLC_miss, br_miss,    task,      scale,   IPC,   CPU,   GHz 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,    600000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.139, 1037.645, 1270.126,  61.044,   26.583,  10.216, 231.035, 600000.000, 1.224, 1.000, 4.491 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,    600000,           0, ycsb_c,            8,      1,            100, -1.000000, 1.254, 1126.424, 948.263,  53.974,   27.438,   9.433, 250.819, 5000000.000, 0.842, 1.000, 4.491 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,    600000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.323, 2420.000, 1566.656,  93.584,   46.155,  12.666, 538.824, 600000.000, 0.647, 1.000, 4.491 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,    600000,           0, ycsb_c,            8,      1,            100, -1.000000, 2.625, 2358.214, 1088.827,  75.111,   43.684,  10.610, 525.066, 5000000.000, 0.462, 1.000, 4.491 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,    600000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.231, 1728.030, 1286.230,  69.004,   31.280,  13.475, 384.754, 600000.000, 0.744, 1.000, 4.491 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,    600000,           0, ycsb_c,            8,      1,            100, -1.000000, 2.111, 1895.843, 951.936,  59.774,   29.678,  10.897, 422.140, 5000000.000, 0.502, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,    600000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.062, 461.126, 729.428,  20.101,    7.259,   6.308, 102.679, 600000.000, 1.582, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,    600000,           0, ycsb_c,            8,      1,            100, -1.000000, 0.364, 327.119, 448.835,   7.540,    2.708,   4.229, 72.844, 5000000.000, 1.372, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,    600000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.287, 2149.151, 1486.312,  56.539,   27.479,  14.593, 478.514, 600000.000, 0.692, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,    600000,           0, ycsb_c,            8,      1,            100, -1.000000, 2.163, 1942.760, 1138.346,  34.912,   18.498,  11.080, 432.565, 5000000.000, 0.586, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,    600000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.189, 1417.567, 989.584,  41.012,   21.211,  12.752, 315.627, 600000.000, 0.698, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,    600000,           0, ycsb_c,            8,      1,            100, -1.000000, 1.585, 1423.999, 663.435,  23.267,   14.593,   9.155, 317.069, 5000000.000, 0.466, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,    600000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.054, 405.260, 644.162,  13.798,    3.173,   6.069, 90.245, 600000.000, 1.590, 1.000, 4.491 
