config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,    cycle,   instr, L1_miss, LLC_miss, br_miss,    task,       scale,   IPC,   CPU,   GHz 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c_init,            8,      1,             20,  1.500000, 1.006, 1046.718, 528.131,   6.951,    3.052,   0.183, 201.151, 5000000.000, 0.505, 1.000, 5.204 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c,            8,      1,             20,  1.500000, 0.121, 63.090, 140.016,   0.853,    0.130,   0.000, 12.145, 10000000.000, 2.219, 1.000, 5.195 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c_init,            1,      1,             20,  1.500000, 0.990, 1012.157, 531.170,   6.835,    3.037,   0.182, 198.086, 5000000.000, 0.525, 1.000, 5.110 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c,            1,      1,             20,  1.500000, 0.159, 80.977, 140.023,   1.581,    0.135,   0.000, 15.868, 10000000.000, 1.729, 1.000, 5.103 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c_init,           30,      1,             20,  1.500000, 1.050, 1078.784, 541.057,   8.047,    3.398,   0.189, 209.981, 5000000.000, 0.502, 1.000, 5.138 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c,           30,      1,             20,  1.500000, 0.189, 98.956, 140.025,   1.191,    0.237,   0.000, 18.893, 10000000.000, 1.415, 1.000, 5.238 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c_init,          200,      1,             20,  1.500000, 1.366, 1393.436, 717.527,  13.239,    5.249,   0.368, 273.145, 5000000.000, 0.515, 1.000, 5.101 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c,          200,      1,             20,  1.500000, 0.149, 76.303, 140.119,   0.884,    0.150,   0.001, 14.932, 10000000.000, 1.836, 1.000, 5.110 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c_init,          600,      1,             20,  1.500000, 2.040, 2129.377, 1147.149,  21.485,    8.878,   0.986, 407.931, 5000000.000, 0.539, 1.000, 5.220 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,         0,           0, ycsb_c,          600,      1,             20,  1.500000, 0.132, 69.070, 140.016,   0.856,    0.156,   0.000, 13.181, 10000000.000, 2.027, 1.000, 5.240 
