               bin_name, config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,    cycle,    instr, L1_miss, LLC_miss, br_miss,    task,       scale,   IPC,   CPU,   GHz 
named-build/art-n3-ycsb,         art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.166, 3330.692, 2395.302,  45.251,   24.244,   9.369, 741.629, 4268639.000, 0.719, 1.000, 4.491 
named-build/art-n3-ycsb,         art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 8.473, 3803.543, 1199.695,  35.820,   22.923,   8.267, 847.312, 10000000.000, 0.315, 1.000, 4.489 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.368, 3541.942, 1709.242, 111.784,   63.012,  14.586, 788.919, 4268639.000, 0.483, 1.000, 4.490 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 8.050, 3613.457, 1276.514,  94.606,   60.441,  13.173, 804.954, 10000000.000, 0.353, 1.000, 4.489 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.682, 2820.626, 1538.438,  63.227,   35.232,  15.922, 628.329, 4268639.000, 0.545, 1.000, 4.489 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.407, 2876.553, 1164.340,  43.564,   27.150,  13.021, 640.721, 10000000.000, 0.405, 1.000, 4.490 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.589, 2723.627, 1534.389,  63.207,   35.411,  15.777, 606.399, 4268639.000, 0.563, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.407, 2877.353, 1164.327,  43.913,   27.411,  12.957, 640.647, 10000000.000, 0.405, 1.000, 4.491 
named-build/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.006, 2110.978, 1889.859,  41.311,   21.076,  15.827, 469.996, 4268639.000, 0.895, 1.000, 4.491 
named-build/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 4.926, 2212.538, 1104.134,  36.476,   21.611,  11.549, 492.628, 10000000.000, 0.499, 1.000, 4.491 
named-build/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.431, 2557.397, 1272.086,  67.605,   38.015,  16.023, 569.388, 4268639.000, 0.497, 1.000, 4.491 
named-build/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.207, 2787.676, 998.934,  55.504,   35.321,  13.706, 620.683, 10000000.000, 0.358, 1.000, 4.491 
named-build/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.616, 2752.390, 1533.928,  62.898,   35.217,  15.796, 612.802, 4268639.000, 0.557, 1.000, 4.491 
named-build/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.333, 2844.500, 1164.420,  43.330,   26.948,  12.963, 633.334, 10000000.000, 0.409, 1.000, 4.491 
named-build/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.648, 2785.789, 1591.100,  63.341,   35.736,  15.714, 620.237, 4268639.000, 0.571, 1.000, 4.491 
named-build/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.327, 2841.393, 1220.443,  43.815,   27.272,  12.926, 632.641, 10000000.000, 0.430, 1.000, 4.491 
named-build/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.892, 3042.112, 1404.195,  87.696,   49.791,  13.320, 677.488, 4268639.000, 0.462, 1.000, 4.490 
named-build/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 7.879, 3536.682, 1211.619,  77.104,   48.684,  11.102, 787.880, 10000000.000, 0.343, 1.000, 4.489 
named-build/art-n3-ycsb,         art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c_init,            8,      1,            100, -1.000000, 7.043, 3221.868, 1198.005,  42.351,   27.193,  10.094, 717.338, 9818360.000, 0.372, 1.000, 4.491 
named-build/art-n3-ycsb,         art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c,            8,      1,            100, -1.000000, 8.067, 3623.182, 501.606,  40.139,   29.503,  10.578, 806.701, 10000000.000, 0.138, 1.000, 4.491 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c_init,            8,      1,            100, -1.000000, 7.501, 3431.367, 1516.136,  89.650,   54.249,  15.974, 763.976, 9818360.000, 0.442, 1.000, 4.491 
named-build/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c,            8,      1,            100, -1.000000, 8.802, 3953.191, 1169.804,  82.579,   55.105,  13.859, 880.203, 10000000.000, 0.296, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c_init,            8,      1,            100, -1.000000, 5.663, 2590.514, 1170.467,  49.261,   30.471,  15.899, 576.776, 9818360.000, 0.452, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c,            8,      1,            100, -1.000000, 6.187, 2778.512, 846.665,  32.994,   24.311,  13.165, 618.676, 10000000.000, 0.305, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c_init,            8,      1,            100, -1.000000, 5.666, 2591.817, 1169.429,  49.558,   30.878,  15.908, 577.075, 9818360.000, 0.451, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c,            8,      1,            100, -1.000000, 6.141, 2757.734, 846.542,  33.142,   24.224,  13.161, 614.052, 10000000.000, 0.307, 1.000, 4.491 
named-build/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c_init,            8,      1,            100, -1.000000, 4.285, 1960.115, 1580.637,  32.295,   19.298,  20.137, 436.413, 9818360.000, 0.806, 1.000, 4.491 
named-build/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c,            8,      1,            100, -1.000000, 5.101, 2290.716, 829.727,  28.516,   20.534,  11.608, 510.075, 10000000.000, 0.362, 1.000, 4.491 
named-build/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c_init,            8,      1,            100, -1.000000, 5.541, 2534.554, 978.446,  59.039,   35.316,  17.470, 564.303, 9818360.000, 0.386, 1.000, 4.491 
named-build/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/wiki,   9818360,           0, ycsb_c,            8,      1,            100, -1.000000, 6.676, 2998.299, 735.551,  50.029,   34.561,  14.953, 667.606, 10000000.000, 0.245, 1.000, 4.491 
