config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,   cycle,   instr, L1_miss, LLC_miss, br_miss,   task,     scale,   IPC,   CPU,   GHz 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.001, 145.525, 481.790,   3.738,    0.487,   0.245, 28.704, 30000.000, 3.311, 1.024, 5.070 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.000, 26.874, 124.412,   0.483,    0.079,   0.003, 5.333, 50000.000, 4.629, 1.015, 5.039 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.004, 607.660, 1262.178,   9.438,    0.609,   7.260, 120.365, 30000.000, 2.077, 1.004, 5.048 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.002, 229.134, 575.568,   2.492,    0.270,   1.604, 45.619, 50000.000, 2.512, 1.003, 5.023 
   baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.005, 819.600, 1143.595,  19.929,    0.298,   7.951, 163.128, 30000.000, 1.395, 1.003, 5.024 
   baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.004, 389.969, 803.982,   4.880,    0.183,   1.725, 78.071, 50000.000, 2.062, 1.002, 4.995 
      hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.004, 680.979, 969.893,  16.435,    0.541,   8.347, 141.576, 30000.000, 1.424, 1.006, 4.810 
      hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.003, 309.379, 579.115,   3.032,    0.135,   1.799, 64.593, 50000.000, 1.872, 1.002, 4.790 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.003, 570.702, 741.869,  16.899,    0.383,   8.314, 115.230, 30000.000, 1.300, 1.005, 4.953 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.003, 265.549, 501.463,   3.714,    0.165,   1.799, 54.491, 50000.000, 1.888, 1.002, 4.873 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.004, 640.276, 900.186,  17.150,    0.496,   8.207, 130.242, 30000.000, 1.406, 1.005, 4.916 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.003, 286.363, 525.155,   3.148,    0.184,   1.720, 58.171, 50000.000, 1.834, 1.002, 4.923 
     prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.005, 829.649, 1003.029,  20.038,    2.931,   7.944, 173.014, 30000.000, 1.209, 1.005, 4.795 
     prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.004, 423.834, 846.343,   5.549,    0.887,   1.720, 88.670, 50000.000, 1.997, 0.998, 4.780 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.002, 257.513, 443.456,   1.863,    0.178,   2.372, 53.763, 30000.000, 1.722, 1.022, 4.790 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,     30000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.002, 204.340, 380.368,   0.911,    0.135,   1.115, 42.568, 50000.000, 1.861, 1.004, 4.800 
