                                                 bin_name, config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSizeInner, const_pageSizeLeaf, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time, cycle, instr, L1_miss, LLC_miss, br_miss, task, scale, IPC, CPU, GHz 
page-size-builds/-DPS_I=1024 -DPS_L=1024/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,     -nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,     -nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,     -nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/inner-n3-ycsb,       inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,     -nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=1024/prefix-n3-ycsb,      prefix,                    0,                     0,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,               1024, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 0.000,   nan,   nan,     nan,      nan,     nan,  nan,   nan, nan, nan, nan 
page-size-builds/-DPS_I=1024 -DPS_L=16384/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.798, 3996.023, 1718.862, 114.300,   75.693,  13.942, 889.698, 4268639.000, 0.430, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/baseline-n3-ycsb,    baseline,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 9.687, 4350.165, 1404.577,  98.336,   69.369,  12.873, 968.645, 10000000.000, 0.323, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.015, 3172.013, 1626.711,  87.064,   54.732,  16.652, 706.280, 4268639.000, 0.513, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.671, 2996.034, 1268.598,  49.787,   32.370,  13.319, 667.100, 10000000.000, 0.423, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.009, 3165.641, 1622.839,  86.859,   54.735,  16.644, 704.885, 4268639.000, 0.513, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 6.605, 2965.204, 1268.615,  49.831,   32.392,  13.330, 660.504, 10000000.000, 0.428, 1.000, 4.489 
page-size-builds/-DPS_I=1024 -DPS_L=16384/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.093, 2201.796, 2052.507,  48.326,   24.538,  17.046, 490.221, 4268639.000, 0.932, 1.000, 4.491 
page-size-builds/-DPS_I=1024 -DPS_L=16384/hash-n3-ycsb,        hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c,            8,      1,            100, -1.000000, 5.268, 2365.019, 1260.889,  45.086,   25.160,  12.331, 526.757, 10000000.000, 0.533, 1.000, 4.490 
page-size-builds/-DPS_I=1024 -DPS_L=16384/heads-n3-ycsb,       heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,                1024,              16384, data/urls,   4268639,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.889, 3039.885, 1416.194,  88.836,   59.616,  15.907, 676.819, 4268639.000, 0.466, 1.000, 4.491 
