config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,    cycle,   instr, L1_miss, LLC_miss, br_miss,    task,       scale,   IPC,   CPU,   GHz 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.000, 1742.110, 530.715,   7.834,    3.398,   0.173, 333.195, 3000000.000, 0.305, 1.000, 5.229 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.201, 104.374, 139.032,   1.026,    0.226,   0.000, 20.131, 10000000.000, 1.332, 1.000, 5.185 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.482, 840.177, 617.065,  11.877,    2.809,   5.677, 160.805, 3000000.000, 0.734, 1.000, 5.225 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.550, 284.962, 549.457,   2.586,    0.342,   1.543, 55.021, 10000000.000, 1.928, 1.000, 5.179 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.596, 1021.355, 525.992,   7.433,    3.196,   0.165, 198.363, 3000000.000, 0.515, 0.999, 5.149 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.225, 115.530, 139.029,   0.940,    0.209,   0.000, 22.512, 10000000.000, 1.203, 1.000, 5.132 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.912, 3325.327, 1486.865,  21.944,   11.525,  11.828, 637.303, 3000000.000, 0.447, 1.000, 5.218 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.774, 394.390, 835.421,   5.439,    0.662,   1.765, 77.420, 10000000.000, 2.118, 1.000, 5.094 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 2.000, 3469.071, 928.609,  24.320,   14.230,  12.185, 666.772, 3000000.000, 0.268, 1.000, 5.203 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.888, 452.191, 640.989,   6.970,    1.110,   1.915, 88.764, 10000000.000, 1.418, 1.000, 5.094 
