 size,  time, cycle, instr, L1_miss, LLC_miss, br_miss,  task,          scale,   IPC,   CPU,   GHz 
10000, 0.891, 4.002, 5.001,   0.000,    0.000,   0.000, 0.891, 1000000000.000, 1.250, 1.000, 4.490 
20000, 0.891, 4.002, 5.001,   0.000,    0.000,   0.000, 0.891, 1000000000.000, 1.250, 1.000, 4.491 
30000, 0.891, 4.003, 5.001,   0.000,    0.000,   0.000, 0.891, 1000000000.000, 1.249, 1.000, 4.491 
40000, 1.370, 6.155, 5.002,   0.251,    0.000,   0.000, 1.370, 1000000000.000, 0.813, 1.000, 4.491 
50000, 1.743, 7.830, 5.002,   0.388,    0.000,   0.000, 1.743, 1000000000.000, 0.639, 1.000, 4.491 
60000, 2.030, 9.052, 5.003,   0.506,    0.000,   0.000, 2.030, 1000000000.000, 0.553, 1.000, 4.459 
70000, 2.183, 9.804, 5.003,   0.579,    0.000,   0.000, 2.183, 1000000000.000, 0.510, 1.000, 4.491 
80000, 2.313, 10.323, 5.003,   0.630,    0.000,   0.000, 2.313, 1000000000.000, 0.485, 1.000, 4.463 
90000, 2.393, 10.748, 5.003,   0.672,    0.000,   0.000, 2.393, 1000000000.000, 0.466, 1.000, 4.491 
100000, 2.478, 11.122, 5.004,   0.710,    0.000,   0.000, 2.476, 1000000000.000, 0.450, 0.999, 4.491 
110000, 2.538, 11.399, 5.003,   0.736,    0.000,   0.000, 2.538, 1000000000.000, 0.439, 1.000, 4.491 
120000, 2.581, 11.591, 5.003,   0.755,    0.000,   0.000, 2.581, 1000000000.000, 0.432, 1.000, 4.491 
130000, 2.633, 11.758, 5.003,   0.772,    0.000,   0.000, 2.633, 1000000000.000, 0.426, 1.000, 4.466 
140000, 2.667, 11.978, 5.003,   0.793,    0.000,   0.000, 2.667, 1000000000.000, 0.418, 1.000, 4.491 
150000, 2.715, 12.128, 5.004,   0.809,    0.000,   0.000, 2.715, 1000000000.000, 0.413, 1.000, 4.467 
160000, 2.728, 12.252, 5.003,   0.819,    0.000,   0.000, 2.728, 1000000000.000, 0.408, 1.000, 4.491 
170000, 2.747, 12.339, 5.004,   0.830,    0.000,   0.000, 2.747, 1000000000.000, 0.406, 1.000, 4.492 
180000, 2.766, 12.424, 5.004,   0.838,    0.000,   0.000, 2.766, 1000000000.000, 0.403, 1.000, 4.492 
190000, 2.787, 12.515, 5.004,   0.847,    0.000,   0.000, 2.786, 1000000000.000, 0.400, 1.000, 4.491 
200000, 2.800, 12.577, 5.004,   0.853,    0.000,   0.000, 2.800, 1000000000.000, 0.398, 1.000, 4.492 
210000, 2.822, 12.674, 5.004,   0.862,    0.000,   0.000, 2.822, 1000000000.000, 0.395, 1.000, 4.491 
220000, 2.833, 12.726, 5.004,   0.868,    0.000,   0.000, 2.833, 1000000000.000, 0.393, 1.000, 4.492 
230000, 2.847, 12.785, 5.004,   0.873,    0.000,   0.000, 2.847, 1000000000.000, 0.391, 1.000, 4.491 
240000, 2.912, 13.072, 5.004,   0.881,    0.000,   0.000, 2.912, 1000000000.000, 0.383, 1.000, 4.489 
250000, 2.874, 12.909, 5.004,   0.883,    0.000,   0.000, 2.874, 1000000000.000, 0.388, 1.000, 4.491 
260000, 2.875, 12.911, 5.004,   0.886,    0.000,   0.000, 2.875, 1000000000.000, 0.388, 1.000, 4.491 
270000, 2.884, 12.953, 5.004,   0.891,    0.000,   0.000, 2.884, 1000000000.000, 0.386, 1.000, 4.492 
280000, 2.894, 12.996, 5.004,   0.894,    0.000,   0.000, 2.894, 1000000000.000, 0.385, 1.000, 4.491 
290000, 2.900, 13.025, 5.004,   0.898,    0.000,   0.000, 2.900, 1000000000.000, 0.384, 1.000, 4.492 
300000, 2.971, 13.344, 5.004,   0.902,    0.000,   0.000, 2.971, 1000000000.000, 0.375, 1.000, 4.491 
310000, 3.010, 13.518, 5.004,   0.905,    0.000,   0.000, 3.010, 1000000000.000, 0.370, 1.000, 4.492 
320000, 3.106, 13.951, 5.004,   0.910,    0.000,   0.000, 3.106, 1000000000.000, 0.359, 1.000, 4.492 
330000, 3.124, 14.030, 5.004,   0.911,    0.000,   0.000, 3.124, 1000000000.000, 0.357, 1.000, 4.492 
340000, 3.169, 14.232, 5.004,   0.913,    0.000,   0.000, 3.169, 1000000000.000, 0.352, 1.000, 4.492 
350000, 3.226, 14.489, 5.004,   0.916,    0.000,   0.000, 3.226, 1000000000.000, 0.345, 1.000, 4.491 
360000, 3.263, 14.657, 5.004,   0.918,    0.000,   0.000, 3.263, 1000000000.000, 0.341, 1.000, 4.492 
370000, 3.317, 14.895, 5.004,   0.920,    0.000,   0.000, 3.316, 1000000000.000, 0.336, 1.000, 4.491 
380000, 3.348, 15.037, 5.004,   0.921,    0.000,   0.000, 3.348, 1000000000.000, 0.333, 1.000, 4.492 
390000, 3.389, 15.219, 5.004,   0.923,    0.000,   0.000, 3.388, 1000000000.000, 0.329, 1.000, 4.491 
400000, 3.428, 15.394, 5.005,   0.925,    0.000,   0.000, 3.428, 1000000000.000, 0.325, 1.000, 4.491 
410000, 3.469, 15.580, 5.004,   0.927,    0.001,   0.000, 3.469, 1000000000.000, 0.321, 1.000, 4.491 
420000, 3.506, 15.723, 5.006,   0.930,    0.000,   0.000, 3.501, 1000000000.000, 0.318, 0.998, 4.491 
440000, 3.563, 16.004, 5.005,   0.933,    0.000,   0.000, 3.563, 1000000000.000, 0.313, 1.000, 4.491 
