                 bin_name, config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,   cycle,   instr, L1_miss, LLC_miss, br_miss,   task,       scale,   IPC,   CPU,   GHz 
named-build/dense-n3-ycsb,       dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c_init,            0,      1,            100,  0.990000, 0.049, 246.573, 366.799,   4.200,    0.481,   2.204, 48.558, 1000000.000, 1.488, 1.000, 5.078 
named-build/dense-n3-ycsb,       dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c,            0,      1,            100,  0.990000, 1.139, 584.289, 341.632,   4.071,    1.143,   1.913, 113.893, 10000000.000, 0.585, 1.000, 5.130 
named-build/dense-n3-ycsb,       dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c_init,            0,      1,            100, -1.000000, 0.053, 268.381, 366.822,   4.235,    0.524,   2.208, 52.728, 1000000.000, 1.367, 1.000, 5.090 
named-build/dense-n3-ycsb,       dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c,            0,      1,            100, -1.000000, 2.118, 1087.005, 341.913,   5.567,    2.379,   2.046, 211.823, 10000000.000, 0.315, 1.000, 5.132 
named-build/art-n3-ycsb,         art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c_init,            0,      1,            100, -1.000000, 0.196, 1026.058, 532.544,   5.616,    2.055,   0.192, 195.738, 1000000.000, 0.519, 1.000, 5.242 
named-build/art-n3-ycsb,         art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c,            0,      1,            100, -1.000000, 2.049, 1075.064, 184.657,   7.741,    4.285,   0.030, 204.871, 10000000.000, 0.172, 1.000, 5.248 
named-build/art-n3-ycsb,         art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c_init,            0,      1,            100,  0.990000, 0.294, 1545.297, 534.793,   7.677,    3.194,   0.175, 294.214, 1000000.000, 0.346, 1.000, 5.252 
named-build/art-n3-ycsb,         art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c,            0,      1,            100,  0.990000, 1.919, 1006.596, 184.326,   6.010,    2.966,   0.003, 191.888, 10000000.000, 0.183, 1.000, 5.246 
named-build/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c_init,            0,      1,            100,  0.990000, 0.474, 2435.074, 917.976,  32.603,   19.860,   9.276, 473.713, 1000000.000, 0.377, 1.000, 5.140 
named-build/hints-n3-ycsb,       hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   1000000,           0, ycsb_c,            0,      1,            100,  0.990000, 2.950, 1509.838, 578.588,  11.988,    4.914,   5.811, 294.948, 10000000.000, 0.383, 1.000, 5.119 
