                  bin_name, config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,   cycle,   instr, L1_miss, LLC_miss, br_miss,    task,       scale,   IPC,   CPU,   GHz 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   5000000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.757, 679.708, 769.022,  23.998,   13.750,   7.049, 151.334, 5000000.000, 1.131, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   5000000,           0, ycsb_c,            8,      1,            100, -1.000000, 1.847, 829.731, 481.631,  11.436,    5.861,   4.711, 184.748, 10000000.000, 0.580, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   5000000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 0.643, 577.597, 684.518,  17.947,    8.951,   6.733, 128.599, 5000000.000, 1.185, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   5000000,           0, ycsb_c,            8,      1,            100, -1.000000, 2.127, 955.140, 480.349,  13.023,    7.522,   5.052, 212.676, 10000000.000, 0.503, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   5000000,           0, ycsb_c_init,            8,      1,            100,  0.990000, 0.760, 682.516, 768.845,  23.997,   13.829,   7.055, 151.959, 5000000.000, 1.126, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   5000000,           0, ycsb_c,            8,      1,            100,  0.990000, 1.708, 766.527, 481.280,  10.966,    5.189,   4.421, 170.844, 10000000.000, 0.628, 1.000, 4.487 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   5000000,           0, ycsb_c_init,            8,      1,            100,  0.990000, 0.699, 628.059, 684.785,  17.959,    9.093,   6.719, 139.862, 5000000.000, 1.090, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096,       int,   5000000,           0, ycsb_c,            8,      1,            100,  0.990000, 2.093, 939.882, 479.768,  13.083,    6.554,   4.714, 209.291, 10000000.000, 0.510, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   5000000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 3.082, 2768.246, 1535.067,  62.731,   35.908,  15.955, 616.333, 5000000.000, 0.555, 1.000, 4.491 
named-build/dense1-n3-ycsb,      dense1,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   5000000,           0, ycsb_c,            8,      1,            100, -1.000000, 6.312, 2834.992, 1178.397,  44.143,   27.747,  12.973, 631.217, 10000000.000, 0.416, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   5000000,           0, ycsb_c_init,            8,      1,            100, -1.000000, 2.981, 2677.661, 1530.847,  63.070,   35.048,  15.928, 596.168, 5000000.000, 0.572, 1.000, 4.491 
named-build/dense2-n3-ycsb,      dense2,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,           4096, data/urls,   5000000,           0, ycsb_c,            8,      1,            100, -1.000000, 6.227, 2796.706, 1178.469,  44.228,   27.899,  12.941, 622.688, 10000000.000, 0.421, 1.000, 4.491 
